OBJECTID,NAME,NAME_2,COUNTY,CITY,OWNER,MANAGEMENT,TYPE,SOURCE,ACRES,GlobalID,last_edited_date,Ownership
99,Barker Bryant Park,formerly Buena Vista Park,DeKalb,Atlanta,DeKalb County,DeKalb County,Public Park,Georgia Tech,10.4702847,{169CBE7F-C23B-408B-B79C-955CD2097984},2022/04/05 20:15:24+00,Public
100,Cedar Park, ,DeKalb,Avondale Estates,DeKalb County,DeKalb County,Public Park,Dekalb County,2.40158942,{D1F9FB70-6C2A-41EA-B938-40D4D9AED546},2022/04/05 20:15:24+00,Public
101,County Line Park, ,DeKalb,Forest Park,DeKalb County,DeKalb County,Public Park,Georgia Tech,6.47079717,{768A92D1-108A-421D-884C-9E3A3BFE012E},2022/04/05 20:15:24+00,Public
102,CITY PARK, ,Fayette,Fayetteville,City of Fayetteville,City of Fayetteville,Public Park,Georgia Tech,1.14092346,{1638ADC3-EF1A-4BB8-9FA6-0C0C83779D56},2022/04/05 20:15:24+00,Public
103,Peter Pan Park,Zupp Park,Fulton,College Park,City of College Park,City of College Park,Public Park,Georgia Tech,5.80889135,{1453ED8F-C782-491E-8603-264F4D20907A},2022/04/05 20:15:24+00,Public
104,Bill Evans Field, ,Fulton,College Park,City of College Park,City of College Park,Recreational Facility,Georgia Tech,15.22778784,{8104CC44-75F4-42B9-A639-6DC5148FF777},2022/04/05 20:15:24+00,Public
105,Brannon Memorial Park,Brannon Park,Fulton,College Park,City of College Park,City of College Park,Public Park,Georgia Tech,7.9990671,{058E5DD5-FDBE-4E72-82CE-4DDFA062933E},2022/04/05 20:15:24+00,Public
106,Windward Soccer Complex, ,Fulton,Alpharetta,City of Alpharetta,City of Alpharetta,Recreational Facility,Fulton County,3.11904559,{1510D412-1782-4019-9D30-2F55E354DE86},2022/04/05 20:15:24+00,Public
107,Wildwood Place, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04777469,{67323BAE-277E-4DF1-93C9-6A7ED946FEEC},2022/04/05 20:15:24+00,Public
108,Wildwood Gardens Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,1.55912462,{ABB070F4-5207-4C7F-B5BD-36629C1E0E71},2022/04/05 20:15:24+00,Public
109,Wilson Park Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.12250642,{A227F8BC-886B-40BA-99F7-4CFBDE6D72EE},2022/04/05 20:15:24+00,Public
110,Pelham Road Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.06420516,{A46499FE-1673-478F-8AAD-68767B3BFBB0},2022/04/05 20:15:24+00,Public
111,East Rock Springs Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.12475437,{7BEEE9AC-EBE6-4EB8-BE4C-B424398CEFE7},2022/04/05 20:15:24+00,Public
112,Sidney Marcus Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,2.68347814,{3DB08E5E-89A1-49AB-B252-FBC901C90E6E},2022/04/05 20:15:24+00,Public
113,Smith Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.40550691,{BB0996B5-6529-4600-B63D-1FEDF099EE96},2022/04/05 20:15:24+00,Public
114,Orme Park,Orme Park,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,6.25417194,{848137B9-5556-4779-9D03-01013577EBEB},2022/04/05 20:15:24+00,Public
115,John Howell Memorial Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,3.11871017,{3662DDC4-834D-4684-B33A-224EB362D7BE},2022/04/05 20:15:24+00,Public
117,Cumberlander Greenspace, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Conservation,GT_Atlanta Update 12-7-05,8.50687103,{937B6AC5-033D-41ED-B112-47B702EC648D},2022/04/14 20:54:47+00,Public
118,Falling Water Greenspace,Falling Water Property,Fulton,Atlanta,City of Atlanta,City of Atlanta,Conservation,GT_Atlanta Update 12-7-05,25.78209339,{BF84A257-2A18-4B64-8A18-2393A62149A3},2022/04/14 20:54:47+00,Public
119,Deepdene Park,Olmsted Linear Park,DeKalb,Atlanta,DeKalb County,DeKalb County,Public Park,Dekalb County,20.74576344,{CDD9295D-DA86-4D22-84BA-C14B2DC7186A},2022/04/05 20:15:24+00,Public
120,Alberta Banks Park,Alberta Banks Park,Hall,Flowery Branch,Hall County,Hall County,Public Park,Hall County Parks description,23.53007581,{61EE2D4B-3F7C-4BD6-A03B-4B2D8AF8A4D2},2022/04/05 20:15:24+00,Public
121,Central Park, ,Hall,Gainesville,Hall County,Hall County,Public Park,Hall County Parks description,24.70237195,{63229E49-C5CD-486B-A853-CCF481DCA38C},2022/04/05 20:15:25+00,Public
122,Chicopee Agricultural Center, ,Hall,Gainesville,Hall County,Hall County,Public Park,Hall County Parks description,35.37802257,{2DEE76C2-2658-4646-B946-A378DDC6AB36},2022/04/05 20:15:25+00,Public
123,Elachee Nature Preserve, ,Hall,Gainesville,Hall County,Hall County,Conservation,Hall County Parks description,1251.83715039,{B494B35B-26FA-46F7-8EB0-82FBD12F876F},2022/04/05 20:15:25+00,Public
124,E. Broad Open Space, ,Coweta,Newnan,City of Newnan,City of Newnan,Conservation,Coweta County,3.58782215,{0EF00530-E2E9-42F2-9C4D-D418DFDB325D},2022/04/05 20:15:25+00,Public
125,Unknown,Unknown,Rockdale,Conyers, ,U.S. Army Corps of Engineers,Conservation,DNR Conservation Lands,20.4989658,{7EEEB4E8-D2BF-49E0-93AD-8B21C00C3B4D},2022/04/14 20:54:47+00,Public
126,Dollar Mill Median, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,GT_Atlanta Update 12-7-05,0.24428823,{4C349F10-D244-45D7-874B-7976DC6FD792},2022/04/05 20:15:25+00,Public
127,East Andrews and Roswell Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,GT_Atlanta Update 12-7-05,0.00707814,{AF934B7D-FD7C-47DB-B40A-BBE05739A7EB},2022/04/05 20:15:25+00,Public
